;Keywords;Answer
36;['Какие', 'карте', 'заявления'];Заявление о назначении выплаты и заявление на открытие счета и предоставления карты «Детская». Заявление на открытие счета и предоставления карты «Детская»
37;['Предоставлять', 'Какие', 'услуге'];"1. Справка, подтверждающая постановку на медицинский учет по беременности в срок до 20 недель (включительно). В инживидульном случае: справка, подтверждающая постановку на учет по беременности в срок до 20 недель (включительно) женщины, родившей ребенка (суррогатной матери)
И
документ, выданный медицинской организацией и подтверждающий факт получения согласия женщины, родившей ребенка (суррогатной матери), на запись родителями ребенка лиц, указанных в свидетельстве о рождении ребенка.  2. Документы, содержащие данные органов регистрационного учета заявителя и ребенка (детей) по месту жительства в Санкт-Петербурге. 3. Свидетельство о рождении ребенка, выданное органами ЗАГС РФ;

- свидетельства о рождении предыдущих детей, выданные органами ЗАГС РФ;

- свидетельство о смерти ребенка (в случае смерти предыдущего ребенка), выданное органами ЗАГС РФ;

- документы об установления над ребенком опеки (в отношении детей, находящихся под опекой или попечительством) - выданные на территории РФ. 4. Свидетельства о заключении (расторжении) брака 5. ля подтверждения статуса неполной семьи дополнительно предоставляется следующие документы:
- справка из органов записи актов гражданского состояния, подтверждающая, что сведения об отце ребенка внесены в запись акта о рождении на основании заявления матери ребенка (на детей, у которых единственный родитель имеет статус одинокой матери)

- справка из службы судебных приставов о неисполнении решения суда о взыскании алиментов, соглашения об уплате алиментов;

- справка из Главного управления МВД РФ по г.Санкт-Петербургу и Ленинградской области о выезде гражданина на постоянное место жительство за границу, а также справка из службы судебных приставов о неисполнении решения суда о взыскании алиментов в случае проживания должника в иностранном государстве, с которым у РФ заключен договор о правовой помощи;

- свидетельство о смерти родителя (в случае смерти одного из родителей), выданное органами ЗАГС РФ 6. Согласие на обработку персональных данных лица, не являющегося заявителем (представителем заявителя) 7. СНИЛС"
38;['услуге', 'Какие', 'дополнительно'];"1. Справка, подтверждающая постановку на медицинский учет по беременности в срок до 20 недель (включительно). В инживидульном случае: справка, подтверждающая постановку на учет по беременности в срок до 20 недель (включительно) женщины, родившей ребенка (суррогатной матери)
И
документ, выданный медицинской организацией и подтверждающий факт получения согласия женщины, родившей ребенка (суррогатной матери), на запись родителями ребенка лиц, указанных в свидетельстве о рождении ребенка.  2. Документы, содержащие данные органов регистрационного учета заявителя и ребенка (детей) по месту жительства в Санкт-Петербурге. 3. Свидетельство о рождении ребенка, выданное органами ЗАГС РФ;

- свидетельства о рождении предыдущих детей, выданные органами ЗАГС РФ;

- свидетельство о смерти ребенка (в случае смерти предыдущего ребенка), выданное органами ЗАГС РФ;

- документы об установления над ребенком опеки (в отношении детей, находящихся под опекой или попечительством) - выданные на территории РФ. 4. Свидетельства о заключении (расторжении) брака 5. ля подтверждения статуса неполной семьи дополнительно предоставляется следующие документы:
- справка из органов записи актов гражданского состояния, подтверждающая, что сведения об отце ребенка внесены в запись акта о рождении на основании заявления матери ребенка (на детей, у которых единственный родитель имеет статус одинокой матери)

- справка из службы судебных приставов о неисполнении решения суда о взыскании алиментов, соглашения об уплате алиментов;

- справка из Главного управления МВД РФ по г.Санкт-Петербургу и Ленинградской области о выезде гражданина на постоянное место жительство за границу, а также справка из службы судебных приставов о неисполнении решения суда о взыскании алиментов в случае проживания должника в иностранном государстве, с которым у РФ заключен договор о правовой помощи;

- свидетельство о смерти родителя (в случае смерти одного из родителей), выданное органами ЗАГС РФ 6. Согласие на обработку персональных данных лица, не являющегося заявителем (представителем заявителя) 7. СНИЛС"
39;['Какие', 'ребенка', 'дополнительно'];"1. Справка, подтверждающая постановку на медицинский учет по беременности в срок до 20 недель (включительно). В инживидульном случае: справка, подтверждающая постановку на учет по беременности в срок до 20 недель (включительно) женщины, родившей ребенка (суррогатной матери)
И
документ, выданный медицинской организацией и подтверждающий факт получения согласия женщины, родившей ребенка (суррогатной матери), на запись родителями ребенка лиц, указанных в свидетельстве о рождении ребенка.  2. Документы, содержащие данные органов регистрационного учета заявителя и ребенка (детей) по месту жительства в Санкт-Петербурге. 3. Свидетельство о рождении ребенка, выданное органами ЗАГС РФ;

- свидетельства о рождении предыдущих детей, выданные органами ЗАГС РФ;

- свидетельство о смерти ребенка (в случае смерти предыдущего ребенка), выданное органами ЗАГС РФ;

- документы об установления над ребенком опеки (в отношении детей, находящихся под опекой или попечительством) - выданные на территории РФ. 4. Свидетельства о заключении (расторжении) брака 5. ля подтверждения статуса неполной семьи дополнительно предоставляется следующие документы:
- справка из органов записи актов гражданского состояния, подтверждающая, что сведения об отце ребенка внесены в запись акта о рождении на основании заявления матери ребенка (на детей, у которых единственный родитель имеет статус одинокой матери)

- справка из службы судебных приставов о неисполнении решения суда о взыскании алиментов, соглашения об уплате алиментов;

- справка из Главного управления МВД РФ по г.Санкт-Петербургу и Ленинградской области о выезде гражданина на постоянное место жительство за границу, а также справка из службы судебных приставов о неисполнении решения суда о взыскании алиментов в случае проживания должника в иностранном государстве, с которым у РФ заключен договор о правовой помощи;

- свидетельство о смерти родителя (в случае смерти одного из родителей), выданное органами ЗАГС РФ 6. Согласие на обработку персональных данных лица, не являющегося заявителем (представителем заявителя) 7. СНИЛС"
40;['Какие', 'карты', 'дополнительно'];"1. Справка, подтверждающая постановку на медицинский учет по беременности в срок до 20 недель (включительно). В инживидульном случае: справка, подтверждающая постановку на учет по беременности в срок до 20 недель (включительно) женщины, родившей ребенка (суррогатной матери)
И
документ, выданный медицинской организацией и подтверждающий факт получения согласия женщины, родившей ребенка (суррогатной матери), на запись родителями ребенка лиц, указанных в свидетельстве о рождении ребенка.  2. Документы, содержащие данные органов регистрационного учета заявителя и ребенка (детей) по месту жительства в Санкт-Петербурге. 3. Свидетельство о рождении ребенка, выданное органами ЗАГС РФ;

- свидетельства о рождении предыдущих детей, выданные органами ЗАГС РФ;

- свидетельство о смерти ребенка (в случае смерти предыдущего ребенка), выданное органами ЗАГС РФ;

- документы об установления над ребенком опеки (в отношении детей, находящихся под опекой или попечительством) - выданные на территории РФ. 4. Свидетельства о заключении (расторжении) брака 5. ля подтверждения статуса неполной семьи дополнительно предоставляется следующие документы:
- справка из органов записи актов гражданского состояния, подтверждающая, что сведения об отце ребенка внесены в запись акта о рождении на основании заявления матери ребенка (на детей, у которых единственный родитель имеет статус одинокой матери)

- справка из службы судебных приставов о неисполнении решения суда о взыскании алиментов, соглашения об уплате алиментов;

- справка из Главного управления МВД РФ по г.Санкт-Петербургу и Ленинградской области о выезде гражданина на постоянное место жительство за границу, а также справка из службы судебных приставов о неисполнении решения суда о взыскании алиментов в случае проживания должника в иностранном государстве, с которым у РФ заключен договор о правовой помощи;

- свидетельство о смерти родителя (в случае смерти одного из родителей), выданное органами ЗАГС РФ 6. Согласие на обработку персональных данных лица, не являющегося заявителем (представителем заявителя) 7. СНИЛС"
41;['Предоставлять', 'детского', 'Какие'];" непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя"
42;['Какие', 'карты', 'основания'];" непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя"
43;['услуги', 'Какие', 'оформлении'];" непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя"
44;['Какие', 'ребенка', 'основания'];" непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя"
45;['Предоставлять', 'детского', 'Какие'];"Отсутствие у заявителя права на получение компенсационной выплаты;
представление неполных и(или) недостоверных сведений и документов, необходимых для назначения мер социальной поддержки и дополнительных мер социальной поддержки семьям, имеющим детей, обязанность представления которых возложена на заявителя."
46;['Какие', 'карты', 'основания'];"Отсутствие у заявителя права на получение компенсационной выплаты;
представление неполных и(или) недостоверных сведений и документов, необходимых для назначения мер социальной поддержки и дополнительных мер социальной поддержки семьям, имеющим детей, обязанность представления которых возложена на заявителя."
47;['услуги', 'Какие', 'оформлении'];"Отсутствие у заявителя права на получение компенсационной выплаты;
представление неполных и(или) недостоверных сведений и документов, необходимых для назначения мер социальной поддержки и дополнительных мер социальной поддержки семьям, имеющим детей, обязанность представления которых возложена на заявителя."
48;['Какие', 'ребенка', 'основания'];"Отсутствие у заявителя права на получение компенсационной выплаты;
представление неполных и(или) недостоверных сведений и документов, необходимых для назначения мер социальной поддержки и дополнительных мер социальной поддержки семьям, имеющим детей, обязанность представления которых возложена на заявителя."
49;['Предоставлять', 'Срок', 'услуги'];"не более 44 рабочих дней со дня подачи заявления со всеми необходимыми для предоставления государственной услуги документами в МФЦ.
Срок принятия администрацией района решения о назначении компенсационной выплаты или об отказе в ее назначении - 10 рабочих дней со дня подачи заявления и документов в случае, если указанные документы не требуют проверки содержащихся в них сведений."
50;['Срок', 'ребенка', 'предоставления'];"не более 44 рабочих дней со дня подачи заявления со всеми необходимыми для предоставления государственной услуги документами в МФЦ.
Срок принятия администрацией района решения о назначении компенсационной выплаты или об отказе в ее назначении - 10 рабочих дней со дня подачи заявления и документов в случае, если указанные документы не требуют проверки содержащихся в них сведений."
51;['услуги', 'Срок', 'предоставления'];"не более 44 рабочих дней со дня подачи заявления со всеми необходимыми для предоставления государственной услуги документами в МФЦ.
Срок принятия администрацией района решения о назначении компенсационной выплаты или об отказе в ее назначении - 10 рабочих дней со дня подачи заявления и документов в случае, если указанные документы не требуют проверки содержащихся в них сведений."
52;['Срок', 'карты', 'предоставления'];"не более 44 рабочих дней со дня подачи заявления со всеми необходимыми для предоставления государственной услуги документами в МФЦ.
Срок принятия администрацией района решения о назначении компенсационной выплаты или об отказе в ее назначении - 10 рабочих дней со дня подачи заявления и документов в случае, если указанные документы не требуют проверки содержащихся в них сведений."
53;['Предоставлять', 'детского', 'услуге'];"Только в случаях, прямо предусмотренных Социальным кодексом и Порядками №1 
и № 2. Пасынки и падчерицы учитываются в составе семьи, если они проживают совместно.
Пасынки и падчерицы – это ребенок (дети) одного из супругов по отношению 
к другому супругу, только в случае если брак между ними заключен.
"
54;['ребенка', 'каком', 'случае'];"Только в случаях, прямо предусмотренных Социальным кодексом и Порядками №1 
и № 2. Пасынки и падчерицы учитываются в составе семьи, если они проживают совместно.
Пасынки и падчерицы – это ребенок (дети) одного из супругов по отношению 
к другому супругу, только в случае если брак между ними заключен.
"
