№ услуги;Полное наименование услуги;Сокращенное наименование услуги;Теги по услуге;Вопрос;Ответ
1033;Государственная услуга по назначению и выплате пособия по временной нетрудоспособности в случае невозможности его выплаты страхователем;1. Ежемесячное пособие по временной нетрудоспособности 2. Пособие по временной нетрудоспособности в случае прекращения деятельности страхователем либо в случае невозможности его выплаты страхователем;;Какие дополнительные документы подтверждающие стаж может предоставить заявитель? ;"окументы, подтверждающие страховой стаж, определяемые Правилами подсчета и подтверждения страхового стажа для определения размеров пособий по временной нетрудоспособности, по беременности и родам, утвержденными приказом Министерства здравоохранения и социального развития РФ от 06.02.2007 № 91:

Например, трудовая книжка, письменные трудовые договоры, справки, выдаваемые работодателями, выписки из приказов, лицевые счета, ведомости на выдачу заработной платы."
1033;Государственная услуга по назначению и выплате пособия по временной нетрудоспособности в случае невозможности его выплаты страхователем;1. Ежемесячное пособие по временной нетрудоспособности 2. Пособие по временной нетрудоспособности в случае прекращения деятельности страхователем либо в случае невозможности его выплаты страхователем;;Какие дополнительные документы должен предоставить заявитель? ;"При обращении заявителя за предоставлением государственной услуги в случае отсутствия возможности установления местонахождения страхователя и его имущества, на которое может быть обращено взыскание:

вступившее в законную силу решение суда об установлении факта невыплаты страхователем пособия застрахованному лицу с указанием суммы задолженности и периода невыплаты пособия."
1033;Государственная услуга по назначению и выплате пособия по временной нетрудоспособности в случае невозможности его выплаты страхователем;1. Ежемесячное пособие по временной нетрудоспособности 2. Пособие по временной нетрудоспособности в случае прекращения деятельности страхователем либо в случае невозможности его выплаты страхователем;;Какие дополнительные документы должен предоставить заявитель в случае подтверждения данных? ;" случае необходимости подтверждения:
прекращения деятельности страхователем на день обращения заявителя за пособием
либо отсутствия возможности выплаты пособия страхователем в связи с недостаточностью денежных средств на его счетах в кредитных организациях и применением очередности списания денежных средств со счета, предусмотренной Гражданским кодексом РФ,
либо невозможности установления местонахождения страхователя и его имущества, на которое может быть обращено взыскание,
либо того, что на день обращения застрахованного лица за указанным пособием в отношении страхователя проводятся процедуры, применяемые в деле о банкротстве страхователя
территориальный орган ФСС направляет запросы в кредитные организации, налоговые органы, территориальные органы Федеральной службы судебных приставов и (или) арбитражному управляющему для получения:

а) документов, подтверждающих прекращение деятельности страхователем на день обращения заявителя за пособием (налоговые органы);б) документов, подтверждающих отсутствие возможности выплаты пособия страхователем в связи с недостаточностью денежных средств на его счетах в кредитных организациях и применением очередности списания денежных средств со счета, предусмотренной Гражданским кодексом РФ (налоговые органы, кредитные организации); в) документов (информации), подтверждающей отсутствие возможности установления местонахождения страхователя и его имущества, на которое может быть обращено взыскание в случае представления заявителем вступившего в законную силу решения суда об установлении факта невыплаты страхователем пособия застрахованному лицу с указанием суммы задолженности и периода невыплаты пособия (территориальные органы Федеральной службы судебных приставов); г) документов, подтверждающих, что в отношении страхователя проводятся процедуры, применяемые в деле о банкротстве, в случае отсутствия данной информации в Едином федеральном реестре сведений о банкротстве (налоговые органы); д) документов, подтверждающих нахождение требований застрахованного лица по выплате пособия в реестре требований кредиторов либо в требованиях кредиторов по текущим платежам в соответствии с Федеральным законом от 26.10.2002 № 127-ФЗ, а также о невыплате пособия с указанием периода и суммы невыплаты (арбитражный управляющий)."
1033;Государственная услуга по назначению и выплате пособия по временной нетрудоспособности в случае невозможности его выплаты страхователем;1. Ежемесячное пособие по временной нетрудоспособности 2. Пособие по временной нетрудоспособности в случае прекращения деятельности страхователем либо в случае невозможности его выплаты страхователем;;Какие основания для отказа в приеме документов?;"Обращение за назначением и выплатой пособия по истечении шестимесячного срока со дня восстановления трудоспособности (установления инвалидности), а также окончания периода освобождения от работы в случаях ухода за больным членом семьи, карантина, протезирования и долечивания.

Перечень уважительных причин пропуска срока обращения за пособием по временной нетрудоспособности утвержден приказом Министерства здравоохранения и социального развития РФ от 31.01.2007 № 74 и включает следующие причины:
- непреодолимая сила, то есть чрезвычайные, непредотвратимые обстоятельства (землетрясение, ураган, наводнение, пожар и другое);
- длительная временная нетрудоспособность заявителя вследствие заболевания или травмы продолжительностью более шести месяцев;
- переезд на место жительства в другой населенный пункт, смена места пребывания;
- вынужденный прогул при незаконном увольнении или отстранении от работы;
- повреждение здоровья или смерть близкого родственника;
- иные причины, признанные уважительными в судебном порядке, при обращении заявителей в суд."
1033;Государственная услуга по назначению и выплате пособия по временной нетрудоспособности в случае невозможности его выплаты страхователем;1. Ежемесячное пособие по временной нетрудоспособности 2. Пособие по временной нетрудоспособности в случае прекращения деятельности страхователем либо в случае невозможности его выплаты страхователем;;Какие основания для предоставления услуги?;Отсутствует
1033;Государственная услуга по назначению и выплате пособия по временной нетрудоспособности в случае невозможности его выплаты страхователем;1. Ежемесячное пособие по временной нетрудоспособности 2. Пособие по временной нетрудоспособности в случае прекращения деятельности страхователем либо в случае невозможности его выплаты страхователем;;Какой результат?;1.  назначение и выплата пособия или отказ в назначении и выплате пособия 2. Уведомление об отказе в приеме документов выдается в МФЦ на бумажном носителе, подготовленном СПб РО ФСС РФ, с приложенными документами заявителя
1033;Государственная услуга по назначению и выплате пособия по временной нетрудоспособности в случае невозможности его выплаты страхователем;1. Ежемесячное пособие по временной нетрудоспособности 2. Пособие по временной нетрудоспособности в случае прекращения деятельности страхователем либо в случае невозможности его выплаты страхователем;;Какой срок предоставления?;Территориальный орган ФСС назначает и выплачивает пособие в течение 10 календарных дней со дня поступления в территориальный орган ФСС по месту регистрации страхователя документов, (информации), указанных в пунктах 12 и 16 административного регламента, независимо от способа подачи заявления о предоставлении государственной услуги.
68;Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации;1. Выдача направлений для предоставления дополнительных технических средств реабилитации 2. Обеспечение инвалидов дополнительными техническими средствами реабилитации;;Кто является заявителем? ;Зявителями являются граждане Российской Федерации, имеющие место жительства в Санкт-Петербурге (постоянную регистрацию в СПб), являющиеся инвалидами и нуждающиеся по медицинским показаниям в дополнительных технических средствах реабилитации.
68;Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации;1. Выдача направлений для предоставления дополнительных технических средств реабилитации 2. Обеспечение инвалидов дополнительными техническими средствами реабилитации;;Как определяются сроки подачи заявления?;Очередное получение ДТСР инвалидом осуществляется в течение всего календарного года, соответствующего году окончания срока пользования ДТСР. Под календарным годом понимается период времени с 1 января по 31 декабря.
68;Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации;1. Выдача направлений для предоставления дополнительных технических средств реабилитации 2. Обеспечение инвалидов дополнительными техническими средствами реабилитации;;Какой срок действует направление?;Направление действует в течение четырех месяцев со дня издания распоряжения администрации района Санкт-Петербурга.
68;Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации;1. Выдача направлений для предоставления дополнительных технических средств реабилитации 2. Обеспечение инвалидов дополнительными техническими средствами реабилитации;;Какой документ удостоверяющий личность должен быть предоставлен?;"1. паспорт гражданина РФ  или временное удостоверение личности, выданное на период замены паспорта (для гражданина, достигшего возраста 14 лет); 2. Свидетельство о рождении ребенка."
68;Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации;1. Выдача направлений для предоставления дополнительных технических средств реабилитации 2. Обеспечение инвалидов дополнительными техническими средствами реабилитации;;Какой документ подтверждает полномочия представителя?;"1. Документ, удостоверяющий личность представителя (законного представителя) инвалида:
- паспорт гражданина РФ  или временное удостоверение личности, выданное на период замены паспорта;
- паспорт иностранного гражданина, вид на жительство - документ, выданный иностранному гражданину или лицу без гражданства в подтверждение их права на постоянное проживание в Российской Федерации в соответствии с Федеральным законом от 25.07.2002 № 115-ФЗ ""О правовом положении иностранных граждан в Российской Федерации"";
- удостоверение беженца - документ, выданный лицу, признанному беженцем в соответствии с Федеральным законом от 19.02.1993 № 4528-1 ""О беженцах"". И доверенность"
68;Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации;1. Выдача направлений для предоставления дополнительных технических средств реабилитации 2. Обеспечение инвалидов дополнительными техническими средствами реабилитации;;Какие требования к доверенности?;" Документ, оформленный в соответствии с действующим законодательством РФ, подтверждающий наличие у представителя права действовать от лица заявителя, и определяющий условия и границы реализации права представителя на получение государственной услуги, в том числе:
- Доверенность, удостоверенная нотариально либо удостоверенная в порядке, предусмотренном пунктом 2 статьи 185.1 Гражданского кодекса РФ.
- Доверенность в простой письменной форме
- Доверенность в простой письменной форме, выдаваемая законным представителем несовершеннолетнего (совершеннолетнего недееспособного) заявителя третьему лицу."
68;Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации;1. Выдача направлений для предоставления дополнительных технических средств реабилитации 2. Обеспечение инвалидов дополнительными техническими средствами реабилитации;;Какие документы предоставляет законный представитель? ;"Документ, подтверждающий право законного представителя выступать от имени заявителя:
- свидетельство о рождении
- решение органа опеки и попечительства об установлении опеки и попечительства
- акт органа исполнительной власти субъекта РФ о назначении руководителем организации для детей-сирот и детей, оставшихся без попечения родителей (для государственных организаций), акт учредителя о назначении руководителем организации для детей-сирот и детей, оставшихся без попечения родителей (для негосударственных организаций)
(в отношении граждан, находящихся под опекой или попечительством либо помещенных под надзор в образовательные организации, медицинские организации, организации, оказывающие социальные услуги, или иные организации, в том числе для детей-сирот и детей, оставшихся без попечения родителей)."
68;Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации;1. Выдача направлений для предоставления дополнительных технических средств реабилитации 2. Обеспечение инвалидов дополнительными техническими средствами реабилитации;;Какой документ подтверждает льготную категорию?;Справка об установлении инвалидности
68;Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации;1. Выдача направлений для предоставления дополнительных технических средств реабилитации 2. Обеспечение инвалидов дополнительными техническими средствами реабилитации;;Какой документ попределяет вид ДТСР?;Индивидуальная программа реабилитации или абилитации инвалида ИЛИ заключение медицинской организации, оказывающей первичную медико-санитарную помощь и входящей в перечень медицинских организаций, участвующих в реализации Территориальной программы государственных гарантий бесплатного оказания гражданам медицинской помощи в СПб
68;Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации;1. Выдача направлений для предоставления дополнительных технических средств реабилитации 2. Обеспечение инвалидов дополнительными техническими средствами реабилитации;;В случае отсутствия отметки в паспорте о регистрации, какой документ может её подтвердить?;Решение суда об установлении места жительства (при наличии).
68;Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации;1. Выдача направлений для предоставления дополнительных технических средств реабилитации 2. Обеспечение инвалидов дополнительными техническими средствами реабилитации;;Какие основания для отказа в приеме документов?;"непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя."
68;Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации;1. Выдача направлений для предоставления дополнительных технических средств реабилитации 2. Обеспечение инвалидов дополнительными техническими средствами реабилитации;;Какие основания для отказа впредоставлении услуги?;"отсутствие у инвалида права на получение ДТСР;
представление заявителем неполных и(или) недостоверных сведений и документов, необходимых для получения ДТСР."
68;Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации;1. Выдача направлений для предоставления дополнительных технических средств реабилитации 2. Обеспечение инвалидов дополнительными техническими средствами реабилитации;;Какой результат предоставления услуги?;"1.Принятие решения о предоставлении ДТСР и выдача заявителю направления на получение ДТСР с указанием поставщиков ДТСР
2.Принятие решения об отказе в предоставлении ДТСР"
68;Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации;1. Выдача направлений для предоставления дополнительных технических средств реабилитации 2. Обеспечение инвалидов дополнительными техническими средствами реабилитации;;Какой срок предоставления услуги?;Администрация района рассматривает заявление, представленные документы и принимает решение о предоставлении ДТСР в течение 10 рабочих дней со дня их подачи.
1135;"Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты: женщинам, родившим в возрасте от 20 до 24 лет включительно первого ребенка в период с 1 января 2018 года по 31 декабря 2019 года; женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2020 года";Единовременная компенсационная выплата женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2018 года;Рождение ребенка;Какие основания для получения?;Заявителем является один из родителей ребенка, являющийся гражданином Российской Федерации, имеющим место жительства (постоянную регистрацию) в Санкт-Петербурге, в случае если ребенок (дети), в отношении которого подается заявление, являются гражданами Российской Федерации и имеющими место жительства (постоянную регистрацию) в Санкт-Петербурге.
1135;"Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты: женщинам, родившим в возрасте от 20 до 24 лет включительно первого ребенка в период с 1 января 2018 года по 31 декабря 2019 года; женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2020 года";Единовременная компенсационная выплата женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2018 года;Рождение ребенка;Какие условия являются обязательными для получения?;"1. ребенок - гражданин РФ, имеющий место жительства (постоянную регистрацию) в СПб
И
один из родителей или оба родителя - граждане РФ, имеющие место жительства (постоянную регистрацию) в СПб.

2. Женщина родила в возрасте от 20 до 24 лет включительно первого ребенка в период с 1 января 2018 года до 31 декабря 2019 года;
Женщина родила в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2020.
(Калькулятор для определения возраста женщины на момент рождения первого ребенка)

3. Обращение последовало не позднее полутора лет со дня рождения ребенка."
1135;"Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты: женщинам, родившим в возрасте от 20 до 24 лет включительно первого ребенка в период с 1 января 2018 года по 31 декабря 2019 года; женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2020 года";Единовременная компенсационная выплата женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2018 года;Рождение ребенка;Как оформлять услугу при рождении (усыновлении) нескольких детей?;Единовременная компенсационная выплата назначается семье однократно на одного из детей, в том числе при рождении двух и более детей одновременно.
1135;"Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты: женщинам, родившим в возрасте от 20 до 24 лет включительно первого ребенка в период с 1 января 2018 года по 31 декабря 2019 года; женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2020 года";Единовременная компенсационная выплата женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2018 года;Рождение ребенка;Какая сумма выплат?;"Единовременная компенсационная выплата с 01.04.2022 - 60603 руб.; с 01.01.2023 - 65585 руб"
1135;"Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты: женщинам, родившим в возрасте от 20 до 24 лет включительно первого ребенка в период с 1 января 2018 года по 31 декабря 2019 года; женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2020 года";Единовременная компенсационная выплата женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2018 года;Рождение ребенка;Кому не положено?;"Гражданам, дети которых находятся на полном государственном обеспечении;
гражданам, лишенным родительских прав (ограниченных в родительских правах);
гражданам Российской Федерации, выехавшим на постоянное место жительства за пределы Российской Федерации. Единовременная компенсационная выплата, не назначается в случае рождения мертвого ребенка, а также в случае смерти ребенка, наступившей до дня обращения за указанной единовременной компенсационной выплатой.
"
1135;"Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты: женщинам, родившим в возрасте от 20 до 24 лет включительно первого ребенка в период с 1 января 2018 года по 31 декабря 2019 года; женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2020 года";Единовременная компенсационная выплата женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2018 года;Рождение ребенка;Какие документы удостоверяют личность?;паспорт гражданина РФ или временное удостоверение личности гражданина РФ, выдаваемое на период оформления паспорта (не должно быть просрочено).
1135;"Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты: женщинам, родившим в возрасте от 20 до 24 лет включительно первого ребенка в период с 1 января 2018 года по 31 декабря 2019 года; женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2020 года";Единовременная компенсационная выплата женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2018 года;Рождение ребенка;Какие документы предоставить при обращении представителя?;1. Документ, удостоверяющий личность доверенного лица по доверенности  2. Нотариально удостоверенная, приравненная к нотариально удостоверенной или удостоверенная организацией, в которой доверитель работает или учится, или администрацией стационарного лечебного учреждения, в котором он находится на излечении. Или простая письменная доверенность
1135;"Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты: женщинам, родившим в возрасте от 20 до 24 лет включительно первого ребенка в период с 1 января 2018 года по 31 декабря 2019 года; женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2020 года";Единовременная компенсационная выплата женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2018 года;Рождение ребенка;Какие заявления брать у заявителя?;Заявление о назначении выплаты
1135;"Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты: женщинам, родившим в возрасте от 20 до 24 лет включительно первого ребенка в период с 1 января 2018 года по 31 декабря 2019 года; женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2020 года";Единовременная компенсационная выплата женщинам, родившим в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2018 года;Рождение ребенка;Какие дополнительно документы должен предоставить заявитель?;1. Документы, подтверждающие наличие в семье детей, 2. Свидетельство об установлении отцовства, 3. Свидетельство о регистрации (расторжении) брака, 4. Документы, содержащие данные органов регистрационного учета заявителя и ребенка (детей), 5. Свидетельство о смерти родителя (в случае смерти одного из родителей), 6. Определение (постановление) суда о признании лица безвестно отсутствующим (умершим) (в случае признания судом безвестно отсутствующим (умершим) одного из родителей),7. Согласие на обработку персональных данных лица, не являющегося заявителем, 8. Реквизиты счета
