Keywords;Answer
руб выплата сумма ребёнок;"Единовременная компенсационная выплата при рождении первого ребенка - с 01.04.2022 - 36168 руб.; с 01.01.2023 - 39141 руб.
при рождении второго ребенка с 01.04.2022 - 48227 руб.; с 01.01.2023 - 52191 руб.
при рождении третьего и последующих детей с 01.04.2022 - 60280 руб.; с 01.01.2023 - 65232 руб"
ребёнок руб карта выплата сумма;"Единовременная компенсационная выплата при рождении первого ребенка - с 01.04.2022 - 36168 руб.; с 01.01.2023 - 39141 руб.
при рождении второго ребенка с 01.04.2022 - 48227 руб.; с 01.01.2023 - 52191 руб.
при рождении третьего и последующих детей с 01.04.2022 - 60280 руб.; с 01.01.2023 - 65232 руб"
услуга положить право родительский;"Гражданам, дети которых находятся на полном государственном обеспечении;
гражданам, лишенным родительских прав (ограниченных в родительских правах);
гражданам Российской Федерации, выехавшим на постоянное место жительства за пределы Российской Федерации."
питание право положить родительский детский;"Гражданам, дети которых находятся на полном государственном обеспечении;
гражданам, лишенным родительских прав (ограниченных в родительских правах);
гражданам Российской Федерации, выехавшим на постоянное место жительства за пределы Российской Федерации."
карта право положить родительский детский;"Гражданам, дети которых находятся на полном государственном обеспечении;
гражданам, лишенным родительских прав (ограниченных в родительских правах);
гражданам Российской Федерации, выехавшим на постоянное место жительства за пределы Российской Федерации."
ребёнок единовременный право положить родительский;"Гражданам, дети которых находятся на полном государственном обеспечении;
гражданам, лишенным родительских прав (ограниченных в родительских правах);
гражданам Российской Федерации, выехавшим на постоянное место жительства за пределы Российской Федерации."
ребёнок питание определение выплата определяться;Для определения размера единовременной компенсационной выплаты учитываются дети, воспитываемые и проживающие в семье заявителя, в том числе падчерицы и пасынки, совершеннолетние дети независимо от их места жительства, а также умершие дети, рожденные (усыновленные) матерью ребенка.
определяться определение размер ребёнок;Для определения размера единовременной компенсационной выплаты учитываются дети, воспитываемые и проживающие в семье заявителя, в том числе падчерицы и пасынки, совершеннолетние дети независимо от их места жительства, а также умершие дети, рожденные (усыновленные) матерью ребенка.
ребёнок определение карта определяться размер;Для определения размера единовременной компенсационной выплаты учитываются дети, воспитываемые и проживающие в семье заявителя, в том числе падчерицы и пасынки, совершеннолетние дети независимо от их места жительства, а также умершие дети, рожденные (усыновленные) матерью ребенка.
ребёнок определение услуга выплата определяться;Для определения размера единовременной компенсационной выплаты учитываются дети, воспитываемые и проживающие в семье заявителя, в том числе падчерицы и пасынки, совершеннолетние дети независимо от их места жительства, а также умершие дети, рожденные (усыновленные) матерью ребенка.
документ питание гражданин просрочить детский;паспорт гражданина РФ ил временное удостоверение личности гражданина РФ, выдаваемое на период оформления паспорта (не должно быть просрочено).
удостоверять документ карта гражданин просрочить;паспорт гражданина РФ ил временное удостоверение личности гражданина РФ, выдаваемое на период оформления паспорта (не должно быть просрочено).
документ личность услуга гражданин просрочить;паспорт гражданина РФ ил временное удостоверение личности гражданина РФ, выдаваемое на период оформления паспорта (не должно быть просрочено).
удостоверять документ ребёнок гражданин просрочить;паспорт гражданина РФ ил временное удостоверение личности гражданина РФ, выдаваемое на период оформления паспорта (не должно быть просрочено).
документ представитель доверенность услуга нотариально;1. Документ, удостоверяющий личность доверенного лица по доверенности  2. Нотариально удостоверенная, приравненная к нотариально удостоверенной или удостоверенная организацией, в которой доверитель работает или учится, или администрацией стационарного лечебного учреждения, в котором он находится на излечении. Или простая письменная доверенность
документ карта доверенность нотариально предоставить;1. Документ, удостоверяющий личность доверенного лица по доверенности  2. Нотариально удостоверенная, приравненная к нотариально удостоверенной или удостоверенная организацией, в которой доверитель работает или учится, или администрацией стационарного лечебного учреждения, в котором он находится на излечении. Или простая письменная доверенность
документ питание доверенность нотариально детский;1. Документ, удостоверяющий личность доверенного лица по доверенности  2. Нотариально удостоверенная, приравненная к нотариально удостоверенной или удостоверенная организацией, в которой доверитель работает или учится, или администрацией стационарного лечебного учреждения, в котором он находится на излечении. Или простая письменная доверенность
документ ребёнок доверенность нотариально предоставить;1. Документ, удостоверяющий личность доверенного лица по доверенности  2. Нотариально удостоверенная, приравненная к нотариально удостоверенной или удостоверенная организацией, в которой доверитель работает или учится, или администрацией стационарного лечебного учреждения, в котором он находится на излечении. Или простая письменная доверенность
питание заявление счёт открытие детский;Заявление о назначении выплаты и заявление на открытие счета и предоставления карты «Детская». Заявление на открытие счета и предоставления карты «Детская»
ребёнок заявление счёт открытие брать;Заявление о назначении выплаты и заявление на открытие счета и предоставления карты «Детская». Заявление на открытие счета и предоставления карты «Детская»
заявитель заявление услуга счёт открытие;Заявление о назначении выплаты и заявление на открытие счета и предоставления карты «Детская». Заявление на открытие счета и предоставления карты «Детская»
карте заявление счёт открытие брать;Заявление о назначении выплаты и заявление на открытие счета и предоставления карты «Детская». Заявление на открытие счета и предоставления карты «Детская»
дополнительно ребёнок питание орган детский;"1. Справка, подтверждающая постановку на медицинский учет по беременности в срок до 20 недель (включительно). В инживидульном случае: справка, подтверждающая постановку на учет по беременности в срок до 20 недель (включительно) женщины, родившей ребенка (суррогатной матери)
И
документ, выданный медицинской организацией и подтверждающий факт получения согласия женщины, родившей ребенка (суррогатной матери), на запись родителями ребенка лиц, указанных в свидетельстве о рождении ребенка.  2. Документы, содержащие данные органов регистрационного учета заявителя и ребенка (детей) по месту жительства в Санкт-Петербурге. 3. Свидетельство о рождении ребенка, выданное органами ЗАГС РФ;

- свидетельства о рождении предыдущих детей, выданные органами ЗАГС РФ;

- свидетельство о смерти ребенка (в случае смерти предыдущего ребенка), выданное органами ЗАГС РФ;

- документы об установления над ребенком опеки (в отношении детей, находящихся под опекой или попечительством) - выданные на территории РФ. 4. Свидетельства о заключении (расторжении) брака 5. ля подтверждения статуса неполной семьи дополнительно предоставляется следующие документы:
- справка из органов записи актов гражданского состояния, подтверждающая, что сведения об отце ребенка внесены в запись акта о рождении на основании заявления матери ребенка (на детей, у которых единственный родитель имеет статус одинокой матери)

- справка из службы судебных приставов о неисполнении решения суда о взыскании алиментов, соглашения об уплате алиментов;

- справка из Главного управления МВД РФ по г.Санкт-Петербургу и Ленинградской области о выезде гражданина на постоянное место жительство за границу, а также справка из службы судебных приставов о неисполнении решения суда о взыскании алиментов в случае проживания должника в иностранном государстве, с которым у РФ заключен договор о правовой помощи;

- свидетельство о смерти родителя (в случае смерти одного из родителей), выданное органами ЗАГС РФ 6. Согласие на обработку персональных данных лица, не являющегося заявителем (представителем заявителя) 7. СНИЛС"
дополнительно заявитель ребёнок услуга орган;"1. Справка, подтверждающая постановку на медицинский учет по беременности в срок до 20 недель (включительно). В инживидульном случае: справка, подтверждающая постановку на учет по беременности в срок до 20 недель (включительно) женщины, родившей ребенка (суррогатной матери)
И
документ, выданный медицинской организацией и подтверждающий факт получения согласия женщины, родившей ребенка (суррогатной матери), на запись родителями ребенка лиц, указанных в свидетельстве о рождении ребенка.  2. Документы, содержащие данные органов регистрационного учета заявителя и ребенка (детей) по месту жительства в Санкт-Петербурге. 3. Свидетельство о рождении ребенка, выданное органами ЗАГС РФ;

- свидетельства о рождении предыдущих детей, выданные органами ЗАГС РФ;

- свидетельство о смерти ребенка (в случае смерти предыдущего ребенка), выданное органами ЗАГС РФ;

- документы об установления над ребенком опеки (в отношении детей, находящихся под опекой или попечительством) - выданные на территории РФ. 4. Свидетельства о заключении (расторжении) брака 5. ля подтверждения статуса неполной семьи дополнительно предоставляется следующие документы:
- справка из органов записи актов гражданского состояния, подтверждающая, что сведения об отце ребенка внесены в запись акта о рождении на основании заявления матери ребенка (на детей, у которых единственный родитель имеет статус одинокой матери)

- справка из службы судебных приставов о неисполнении решения суда о взыскании алиментов, соглашения об уплате алиментов;

- справка из Главного управления МВД РФ по г.Санкт-Петербургу и Ленинградской области о выезде гражданина на постоянное место жительство за границу, а также справка из службы судебных приставов о неисполнении решения суда о взыскании алиментов в случае проживания должника в иностранном государстве, с которым у РФ заключен договор о правовой помощи;

- свидетельство о смерти родителя (в случае смерти одного из родителей), выданное органами ЗАГС РФ 6. Согласие на обработку персональных данных лица, не являющегося заявителем (представителем заявителя) 7. СНИЛС"
дополнительно орган документ ребёнок;"1. Справка, подтверждающая постановку на медицинский учет по беременности в срок до 20 недель (включительно). В инживидульном случае: справка, подтверждающая постановку на учет по беременности в срок до 20 недель (включительно) женщины, родившей ребенка (суррогатной матери)
И
документ, выданный медицинской организацией и подтверждающий факт получения согласия женщины, родившей ребенка (суррогатной матери), на запись родителями ребенка лиц, указанных в свидетельстве о рождении ребенка.  2. Документы, содержащие данные органов регистрационного учета заявителя и ребенка (детей) по месту жительства в Санкт-Петербурге. 3. Свидетельство о рождении ребенка, выданное органами ЗАГС РФ;

- свидетельства о рождении предыдущих детей, выданные органами ЗАГС РФ;

- свидетельство о смерти ребенка (в случае смерти предыдущего ребенка), выданное органами ЗАГС РФ;

- документы об установления над ребенком опеки (в отношении детей, находящихся под опекой или попечительством) - выданные на территории РФ. 4. Свидетельства о заключении (расторжении) брака 5. ля подтверждения статуса неполной семьи дополнительно предоставляется следующие документы:
- справка из органов записи актов гражданского состояния, подтверждающая, что сведения об отце ребенка внесены в запись акта о рождении на основании заявления матери ребенка (на детей, у которых единственный родитель имеет статус одинокой матери)

- справка из службы судебных приставов о неисполнении решения суда о взыскании алиментов, соглашения об уплате алиментов;

- справка из Главного управления МВД РФ по г.Санкт-Петербургу и Ленинградской области о выезде гражданина на постоянное место жительство за границу, а также справка из службы судебных приставов о неисполнении решения суда о взыскании алиментов в случае проживания должника в иностранном государстве, с которым у РФ заключен договор о правовой помощи;

- свидетельство о смерти родителя (в случае смерти одного из родителей), выданное органами ЗАГС РФ 6. Согласие на обработку персональных данных лица, не являющегося заявителем (представителем заявителя) 7. СНИЛС"
дополнительно документ ребёнок карта орган;"1. Справка, подтверждающая постановку на медицинский учет по беременности в срок до 20 недель (включительно). В инживидульном случае: справка, подтверждающая постановку на учет по беременности в срок до 20 недель (включительно) женщины, родившей ребенка (суррогатной матери)
И
документ, выданный медицинской организацией и подтверждающий факт получения согласия женщины, родившей ребенка (суррогатной матери), на запись родителями ребенка лиц, указанных в свидетельстве о рождении ребенка.  2. Документы, содержащие данные органов регистрационного учета заявителя и ребенка (детей) по месту жительства в Санкт-Петербурге. 3. Свидетельство о рождении ребенка, выданное органами ЗАГС РФ;

- свидетельства о рождении предыдущих детей, выданные органами ЗАГС РФ;

- свидетельство о смерти ребенка (в случае смерти предыдущего ребенка), выданное органами ЗАГС РФ;

- документы об установления над ребенком опеки (в отношении детей, находящихся под опекой или попечительством) - выданные на территории РФ. 4. Свидетельства о заключении (расторжении) брака 5. ля подтверждения статуса неполной семьи дополнительно предоставляется следующие документы:
- справка из органов записи актов гражданского состояния, подтверждающая, что сведения об отце ребенка внесены в запись акта о рождении на основании заявления матери ребенка (на детей, у которых единственный родитель имеет статус одинокой матери)

- справка из службы судебных приставов о неисполнении решения суда о взыскании алиментов, соглашения об уплате алиментов;

- справка из Главного управления МВД РФ по г.Санкт-Петербургу и Ленинградской области о выезде гражданина на постоянное место жительство за границу, а также справка из службы судебных приставов о неисполнении решения суда о взыскании алиментов в случае проживания должника в иностранном государстве, с которым у РФ заключен договор о правовой помощи;

- свидетельство о смерти родителя (в случае смерти одного из родителей), выданное органами ЗАГС РФ 6. Согласие на обработку персональных данных лица, не являющегося заявителем (представителем заявителя) 7. СНИЛС"
удостоверять документ питание основание детский;" непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя"
удостоверять документ отказ карта основание;" непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя"
удостоверять документ оформление услуга основание;" непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя"
удостоверять документ отказ ребёнок основание;" непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя"
питание основание социальный мера детский;"Отсутствие у заявителя права на получение компенсационной выплаты;
представление неполных и(или) недостоверных сведений и документов, необходимых для назначения мер социальной поддержки и дополнительных мер социальной поддержки семьям, имеющим детей, обязанность представления которых возложена на заявителя."
отказ карта основание социальный мера;"Отсутствие у заявителя права на получение компенсационной выплаты;
представление неполных и(или) недостоверных сведений и документов, необходимых для назначения мер социальной поддержки и дополнительных мер социальной поддержки семьям, имеющим детей, обязанность представления которых возложена на заявителя."
оформление услуга основание социальный мера;"Отсутствие у заявителя права на получение компенсационной выплаты;
представление неполных и(или) недостоверных сведений и документов, необходимых для назначения мер социальной поддержки и дополнительных мер социальной поддержки семьям, имеющим детей, обязанность представления которых возложена на заявителя."
отказ ребёнок основание социальный мера;"Отсутствие у заявителя права на получение компенсационной выплаты;
представление неполных и(или) недостоверных сведений и документов, необходимых для назначения мер социальной поддержки и дополнительных мер социальной поддержки семьям, имеющим детей, обязанность представления которых возложена на заявителя."
питание срок рабочий подача детский;"не более 44 рабочих дней со дня подачи заявления со всеми необходимыми для предоставления государственной услуги документами в МФЦ.
Срок принятия администрацией района решения о назначении компенсационной выплаты или об отказе в ее назначении - 10 рабочих дней со дня подачи заявления и документов в случае, если указанные документы не требуют проверки содержащихся в них сведений."
ребёнок срок рабочий подача предоставление;"не более 44 рабочих дней со дня подачи заявления со всеми необходимыми для предоставления государственной услуги документами в МФЦ.
Срок принятия администрацией района решения о назначении компенсационной выплаты или об отказе в ее назначении - 10 рабочих дней со дня подачи заявления и документов в случае, если указанные документы не требуют проверки содержащихся в них сведений."
срок рабочий услуга подача предоставление;"не более 44 рабочих дней со дня подачи заявления со всеми необходимыми для предоставления государственной услуги документами в МФЦ.
Срок принятия администрацией района решения о назначении компенсационной выплаты или об отказе в ее назначении - 10 рабочих дней со дня подачи заявления и документов в случае, если указанные документы не требуют проверки содержащихся в них сведений."
срок карта рабочий подача предоставление;"не более 44 рабочих дней со дня подачи заявления со всеми необходимыми для предоставления государственной услуги документами в МФЦ.
Срок принятия администрацией района решения о назначении компенсационной выплаты или об отказе в ее назначении - 10 рабочих дней со дня подачи заявления и документов в случае, если указанные документы не требуют проверки содержащихся в них сведений."
случай пасынки детский питание;"Только в случаях, прямо предусмотренных Социальным кодексом и Порядками №1 
и № 2. Пасынки и падчерицы учитываются в составе семьи, если они проживают совместно.
Пасынки и падчерицы – это ребенок (дети) одного из супругов по отношению 
к другому супругу, только в случае если брак между ними заключен.
"
