Keywords;Answer
детский документ карта единовременный компенсационный;" непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя"
детский услуга карта единовременный компенсационный;"Отсутствие у заявителя права на получение компенсационной выплаты;
представление неполных и(или) недостоверных сведений и документов, необходимых для назначения мер социальной поддержки и дополнительных мер социальной поддержки семьям, имеющим детей, обязанность представления которых возложена на заявителя."
детский услуга карта единовременный компенсационный;"не более 44 рабочих дней со дня подачи заявления со всеми необходимыми для предоставления государственной услуги документами в МФЦ.
Срок принятия администрацией района решения о назначении компенсационной выплаты или об отказе в ее назначении - 10 рабочих дней со дня подачи заявления и документов в случае, если указанные документы не требуют проверки содержащихся в них сведений."
детский падчерица карта единовременный компенсационный;"Только в случаях, прямо предусмотренных Социальным кодексом и Порядками №1 
и № 2. Пасынки и падчерицы учитываются в составе семьи, если они проживают совместно.
Пасынки и падчерицы – это ребенок (дети) одного из супругов по отношению 
к другому супругу, только в случае если брак между ними заключен.
"
детский апостиль карта единовременный компенсационный;"На документах должен быть проставлен «апостиль» в соответствии с Гаагской конвенцией, отменяющей требование легализации иностранных официальных документов либо справка должна быть легализована консульским учреждением Российской Федерации за пределами территории Российской Федерации (Российская Федерация присоединилась 
к Гаагской конвенции с 31.05.1992).
В случае если между иностранным государством и Российской Федерацией заключен договор, отменяющий или упрощающий данную процедуру, или освобождает документ от легализации (второй абзац статьи 3 Гаагской конвенции), проставление «апостиль» 
не требуется, достаточно нотариально заверенного перевода на русский язык.
"
детский санкт петербург назначение решение;"В случае установления места жительства семьи в Санкт-Петербурге по решению суда:
а) решение принимается администрацией района по месту жительства семьи, который указан в решении суда (как по аналогии с лицами «БОМЖ»);
б) пособия назначаются по срокам, как лицам, имеющим место жительства в Санкт-Петербурге. 
"
рождение ребёнок детский карта единовременный;"В соответствии с информацией, полученной посредством межведомственного взаимодействия от органов ЗАГСа, очередность рождения детей можно определить по актовой записи в свидетельствах о рождении.
"
выплата рождение ребёнок аналогичный детский;"Нет, не нужно, так как в комплекте документов при назначении ЕКВ при рождении ребенка (усыновлении в возрасте до шести месяцев) указанная справка не требуется.
"
курортный санаторный лечение приём обеспечение;"1. Паспорт либо иной документ, удостоверяющий личность доверенного лица или законного представителя инвалида 2.  нотариально удостоверенная доверенность или доверенность, приравненная к нотариальной; 3. доверенность, удостоверенная организацией, в которой доверитель работает или учится, администрацией стационарного лечебного учреждения, в котором он находится на излечении; 4. Доверенность в простой письменной форме

"
курортный санаторный лечение приём обеспечение;"1. свидетельство о рождении; 2.  акт органа опеки и попечительства об установлении опеки или попечительства.

"
курортный санаторный лечение приём обеспечение;"Справка для получения путевки на санаторно-курортное лечение по форме 070/у (действительна 12 месяцев). Справка заверяется подписью лечащего врача или врача-специалиста и подписью заведующего отделением или председателя врачебной комиссии и печатью медицинской организации, на оттиске которой идентифицируется полное наименование медицинской организации.

"
курортный санаторный лечение приём документ;"Не предусмотрено
"
курортный санаторный лечение приём обеспечение;"обращение с заявлением лиц, не относящихся к категориям заявителей и их представителей;
- непредставление заявителем документов, указанных в уведомлении о необходимости предоставления документов, в сроки, установленные в указанном уведомлении;
- отказ заявителя от получения набора социальных услуг полностью, отказ заявителя от получения государственной услуги в части предоставления при наличии медицинских показаний путевки на санаторно-курортное лечение, осуществляемое в целях профилактики основных заболеваний, в санаторно-курортные организации, определенные в соответствии с законодательством РФ о контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд, оформленный в виде заявления об отказе от получения набора социальных услуг (социальной услуги), подаваемого в СФР в соответствии с частями 3, 4 статьи 6.3 Федерального закона от 17.07.1999 № 178-ФЗ ""О государственной социальной помощи"";
- наличие ранее зарегистрированного заявления о предоставлении государственной услуги в СФР, по которому путевка на санаторно-курортное лечение не была предоставлена"
курортный санаторный лечение приём обеспечение;редоставление путевки на санаторно-курортное лечение, осуществляемой в целях профилактики основных заболеваний, в санаторно-курортные организации, определенные в соответствии с законодательством РФ о контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд.
курортный санаторный лечение приём обеспечение;редоставление путевки на санаторно-курортное лечение, осуществляемой в целях профилактики основных заболеваний, в санаторно-курортные организации, определенные в соответствии с законодательством РФ о контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд.
курортный санаторный лечение приём обеспечение;"не позднее 10 дней с момента поступления заявления о предоставлении государственной услуги и документов, необходимых для предоставления государственной услуги, сообщают заявителю о регистрации его заявления с указанием даты регистрации и регистрационного номера, а также уведомляют заявителя об учете заявления в электронной очереди граждан на получение санаторно-курортной путевки в информационной системе СФР либо об отказе в предоставлении государственной услуги;"
январь рождение возраст период получение;Заявителем является один из родителей ребенка, являющийся гражданином Российской Федерации, имеющим место жительства (постоянную регистрацию) в Санкт-Петербурге, в случае если ребенок (дети), в отношении которого подается заявление, являются гражданами Российской Федерации и имеющими место жительства (постоянную регистрацию) в Санкт-Петербурге.
январь рождение возраст период получение;"1. ребенок - гражданин РФ, имеющий место жительства (постоянную регистрацию) в СПб
И
один из родителей или оба родителя - граждане РФ, имеющие место жительства (постоянную регистрацию) в СПб.

2. Женщина родила в возрасте от 20 до 24 лет включительно первого ребенка в период с 1 января 2018 года до 31 декабря 2019 года;
Женщина родила в возрасте от 19 до 24 лет включительно первого ребенка в период с 1 января 2020.
(Калькулятор для определения возраста женщины на момент рождения первого ребенка)

3. Обращение последовало не позднее полутора лет со дня рождения ребенка."
январь ребёнок возраст период рождение;Единовременная компенсационная выплата назначается семье однократно на одного из детей, в том числе при рождении двух и более детей одновременно.
январь рождение возраст период ребёнок;"Единовременная компенсационная выплата с 01.04.2022 - 60603 руб.; с 01.01.2023 - 65585 руб"
январь рождение возраст период положить;"Гражданам, дети которых находятся на полном государственном обеспечении;
гражданам, лишенным родительских прав (ограниченных в родительских правах);
гражданам Российской Федерации, выехавшим на постоянное место жительства за пределы Российской Федерации. Единовременная компенсационная выплата, не назначается в случае рождения мертвого ребенка, а также в случае смерти ребенка, наступившей до дня обращения за указанной единовременной компенсационной выплатой.
"
январь рождение возраст период личность;паспорт гражданина РФ или временное удостоверение личности гражданина РФ, выдаваемое на период оформления паспорта (не должно быть просрочено).
январь рождение возраст период представитель;1. Документ, удостоверяющий личность доверенного лица по доверенности  2. Нотариально удостоверенная, приравненная к нотариально удостоверенной или удостоверенная организацией, в которой доверитель работает или учится, или администрацией стационарного лечебного учреждения, в котором он находится на излечении. Или простая письменная доверенность
январь рождение возраст период заявитель;Заявление о назначении выплаты
январь рождение возраст период заявитель;1. Документы, подтверждающие наличие в семье детей, 2. Свидетельство об установлении отцовства, 3. Свидетельство о регистрации (расторжении) брака, 4. Документы, содержащие данные органов регистрационного учета заявителя и ребенка (детей), 5. Свидетельство о смерти родителя (в случае смерти одного из родителей), 6. Определение (постановление) суда о признании лица безвестно отсутствующим (умершим) (в случае признания судом безвестно отсутствующим (умершим) одного из родителей),7. Согласие на обработку персональных данных лица, не являющегося заявителем, 8. Реквизиты счета
январь рождение возраст период документ;непредставление заявителем согласия на обработку персональных данных лица, не являющегося заявителем, в случае если для предоставления государственной услуги необходима обработка персональных данных лица, не являющегося заявителем.
январь рождение возраст период услуга;" отсутствие у заявителя права на получение единовременной компенсационной выплаты;
- представление неполных и(или) недостоверных сведений и документов, необходимых для назначения мер социальной поддержки и дополнительных мер социальной поддержки семьям, имеющим детей, обязанность представления которых возложена на заявителя."
январь рождение возраст период услуга;"не более 44 рабочих дней со дня подачи заявления со всеми необходимыми для предоставления государственной услуги документами в МФЦ.
Срок принятия администрацией района решения о назначении компенсационной выплаты или об отказе в ее назначении - 10 рабочих дней со дня подачи заявления и документов в случае, если указанные документы не требуют проверки содержащихся в них сведений."
январь рождение возраст период апостиль;"На документах должен быть проставлен «апостиль» в соответствии с Гаагской конвенцией, отменяющей требование легализации иностранных официальных документов либо справка должна быть легализована консульским учреждением Российской Федерации за пределами территории Российской Федерации (Российская Федерация присоединилась 
к Гаагской конвенции с 31.05.1992).
В случае если между иностранным государством и Российской Федерацией заключен договор, отменяющий или упрощающий данную процедуру, или освобождает документ от легализации (второй абзац статьи 3 Гаагской конвенции), проставление «апостиль» 
не требуется, достаточно нотариально заверенного перевода на русский язык.
"
январь рождение возраст период санкт;"В случае установления места жительства семьи в Санкт-Петербурге по решению суда:
а) решение принимается администрацией района по месту жительства семьи, который указан в решении суда (как по аналогии с лицами «БОМЖ»);
б) пособия назначаются по срокам, как лицам, имеющим место жительства в Санкт-Петербурге. 
"
детский рождение получение карта ежемесячный;" Получателем государственной услуги является один из родителей (законных представителей) ребенка в возрасте от рождения до 1,5 лет в случаях:
- если семья является малообеспеченной (семья, имеющая среднедушевой доход ниже полуторакратного размера величины прожиточного минимума в расчете на душу населения, установленного в Санкт-Петербурге за последний квартал, за который определена указанная величина прожиточного минимума, на дату обращения);
или
- если семья имеет право на пособие, независимо от среднедушевого дохода семьи.
"
детский рождение получение карта ежемесячный;Заявителями являются один из родителей или иной законный представитель (усыновитель, опекун, попечитель) ребенка (детей) в возрасте от рождения до полутора лет, являющийся гражданином Российской Федерации, имеющим место жительства или место пребывания в Санкт-Петербурге, гражданином без определенного места жительства, лицом без гражданства, в том числе беженцем, имеющим место жительство или место пребывания в Санкт-Петербурге, иностранным гражданином, имеющим место жительство в Санкт-Петербурге, в случае если ребенок (дети) являются гражданами Российской Федерации, имеющими место жительства или место пребывания в Санкт-Петербурге, гражданами без определенного места жительства, лицами без гражданства, в том числе беженцами, имеющими место жительства или место пребывания в Санкт-Петербурге, иностранными гражданами, имеющими место жительство в Санкт-Петербурге. Ежемесячное пособие назначается на срок до достижения ребенком возраста 1,5 лет. Пособие назначается за шесть месяцев до месяца, в котором были поданы заявление и документы, но не ранее дня возникновения права.
детский ребёнок рождение карта ежемесячный;При наличии в семье двух и более детей пособие назначается на каждого ребенка 
детский рождение выплата карта ежемесячный;"Ежемесячное пособие на ребенка от рождения до полутора лет в 2023 году:
- 4356 руб. – при рождении первого ребенка;
- 5621 руб. – при рождении второго и последующих детей (в том числе в неполной семье, семье военнослужащего);
- 4920 руб. – при рождении первого ребенка в неполной семье, семье военнослужащего."
детский рождение положить карта ежемесячный;"Гражданам, дети которых находятся на полном государственном обеспечении;
гражданам, лишенным родительских прав (ограниченных в родительских правах);
гражданам Российской Федерации, выехавшим на постоянное место жительства за пределы Российской Федерации."
детский рождение выплата карта ежемесячный;Для определения размера учитываются дети, воспитываемые и проживающие в семье заявителя, в том числе падчерицы и пасынки, совершеннолетние дети независимо от их места жительства, а также умершие дети, рожденные (усыновленные) матерью ребенка.
детский рождение личность карта ежемесячный;Паспорт гражданина РФ или временное удостоверение личности гражданина РФ, выдаваемое на период оформления паспорта (не должно быть просрочено).
детский рождение представитель карта ежемесячный;1. Документ, удостоверяющий личность доверенного лица по доверенности  2. Нотариально удостоверенная, приравненная к нотариально удостоверенной или удостоверенная организацией, в которой доверитель работает или учится, или администрацией стационарного лечебного учреждения, в котором он находится на излечении. Или простая письменная доверенность
детский рождение заявитель карта ежемесячный;Заявление о назначении выплаты и заявление на открытие счета и предоставления карты «Детская».
детский рождение заявитель карта ежемесячный;1. Документы, содержащие данные органов регистрационного учета заявителя и ребенка (детей), 2. Документы, подтверждающие наличие в семье детей: (в том числе включаемых в состав семьи, совершеннолетних детей, от 18 до 23 лет включительно, обучающихся по очной форме обучения), 3. Свидетельство о заключении (расторжении) брака, 4. Документы о доходах семьи за три месяца, предшествующих месяцу перед месяцем подачи заявления ЛИБО документ, подтверждающий льготную категорию, 5. Согласие на обработку персональных данных лица, не являющегося заявителем (представителем заявителя), 6. СНИЛС
детский рождение документ карта ежемесячный;"непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя"
детский рождение услуга карта ежемесячный;" непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
- непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя;
- непредставление заявителем (представителем) согласия на обработку персональных данных лица, не являющегося заявителем (представителем) для предоставления государственной услуги необходима обработка персональных данных такого лица (лицо, который является отцом либо матерью ребенка в зависимости кто подает заявление на получение государственной услуги)."
детский рождение услуга карта ежемесячный;"1. Срок принятия администрацией района решение о назначении пособия или об отказе в его назначении - 10 рабочих дней со дня подачи заявления и документов в случае, если указанные документы не требуют проверки содержащихся в них сведений. В случае обнаружения обстоятельств или документов, опровергающих достоверность сведений, представленных в подтверждение права на получение меры социальной поддержки, или необходимости проведения проверки, срок принятия решения о назначении (возобновлении) указанной меры социальной поддержки продлевается на десять рабочих дней.
2. Назначение и выплата пособия осуществляется в течение 34 рабочих дней со дня обращения заявителя (в случае необходимости проведения проверки сведений – 44 рабочих дней."
детский рождение падчерица карта ежемесячный;"Только в случаях, прямо предусмотренных Социальным кодексом и Порядками №1 
и № 2. Пасынки и падчерицы учитываются в составе семьи, если они проживают совместно.
Пасынки и падчерицы – это ребенок (дети) одного из супругов по отношению 
к другому супругу, только в случае если брак между ними заключен.
"
детский рождение апостиль карта ежемесячный;"На документах должен быть проставлен «апостиль» в соответствии с Гаагской конвенцией, отменяющей требование легализации иностранных официальных документов либо справка должна быть легализована консульским учреждением Российской Федерации за пределами территории Российской Федерации (Российская Федерация присоединилась 
к Гаагской конвенции с 31.05.1992).
В случае если между иностранным государством и Российской Федерацией заключен договор, отменяющий или упрощающий данную процедуру, или освобождает документ от легализации (второй абзац статьи 3 Гаагской конвенции), проставление «апостиль» 
не требуется, достаточно нотариально заверенного перевода на русский язык.
"
детский рождение санкт петербург назначение;"В случае установления места жительства семьи в Санкт-Петербурге по решению суда:
а) решение принимается администрацией района по месту жительства семьи, который указан в решении суда (как по аналогии с лицами «БОМЖ»);
б) пособия назначаются по срокам, как лицам, имеющим место жительства в Санкт-Петербурге. 
"
ребёнок рождение детский карта ежемесячный;"В соответствии с информацией, полученной посредством межведомственного взаимодействия от органов ЗАГСа, очередность рождения детей можно определить по актовой записи в свидетельствах о рождении.
"
детский возраст получение карта ежемесячный;" Получателем государственной услуги является один из родителей (законных представителей) ребенка в возрасте от 1,5 до 7 лет в случаях:
- если семья является малообеспеченной (семья, имеющая среднедушевой доход ниже полуторакратного размера величины прожиточного минимума в расчете на душу населения, установленного в Санкт-Петербурге за последний квартал, за который определена указанная величина прожиточного минимума, на дату обращения);
или
- если семья имеет право на пособие, независимо от среднедушевого дохода семьи.
"
